HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,year,Tot_Spndng,Tot_Dsg_Unts,Tot_Benes,Avg_Spndng_Per_Dsg_Unt,Avg_Spndng_Per_Clm,Avg_Spndng_Per_Bene,Tot_Clms,Outlier_Flag
J1303_2019,"Injection, ravulizumab-cwvz, 10 mg",Ultomiris,Ravulizumab-Cwvz,2019,20963334.39,94872.0,187.0,220.96439824,56201.968874,112103.39246,373.0,0.0
J1305_2019,"Injection, evinacumab-dgnb, 5mg",Evkeeza,Evinacumab-Dgnb,2019,\N,\N,\N,\N,\N,\N,\N,\N
J1306_2019,"Injection, inclisiran, 1 mg",Leqvio,Inclisiran Sodium,2019,\N,\N,\N,\N,\N,\N,\N,\N
J1322_2019,"Injection, elosulfase alfa, 1 mg",Vimizim,Elosulfase Alfa,2019,3428803.92,14680.0,\N,233.56974932,20531.76,\N,167.0,0.0
J1325_2019,"Injection, epoprostenol, 0.5 mg",Epoprostenol Sodium*,Epoprostenol Sodium*,2019,18474781.29,1162301.0,474.0,15.895005932,2714.0856897,38976.331835,6807.0,0.0
J1335_2019,"Injection, ertapenem sodium, 500 mg",Ertapenem*,Ertapenem Sodium*,2019,7263984.21,154868.0,7592.0,46.904358615,101.12181154,956.79454821,71834.0,0.0
J1364_2019,"Injection, erythromycin lactobionate, per 500 mg",Erythrocin Lactobionate*,Erythromycin Lactobionate*,2019,15885.41,238.0,72.0,66.745420168,206.30402597,220.63069444,77.0,0.0
J1380_2019,"Injection, estradiol valerate, up to 10 mg",Delestrogen*,Estradiol Valerate*,2019,92454.88,8706.5,909.0,10.619063918,18.347862671,101.71053905,5039.0,0.0
J1410_2019,"Injection, estrogen conjugated, per 25 mg",Premarin,"Estrogens, Conjugated",2019,45528.49,427.0,157.0,106.62409836,124.73558904,289.99038217,365.0,1.0
J1430_2019,"Injection, ethanolamine oleate, 100 mg",Ethamolin,Ethanolamine Oleate,2019,28089.18,71.0,27.0,395.62225352,968.59241379,1040.34,29.0,1.0
J1437_2019,"Injection, ferric derisomaltose, 10 mg",Monoferric,Ferric DerIsomaltose,2019,\N,\N,\N,\N,\N,\N,\N,\N
J1439_2019,"Injection, ferric carboxymaltose, 1 mg",Injectafer,Ferric Carboxymaltose,2019,159557044.18,163224445.0,99473.0,0.9775315467,797.6815223,1604.0236464,200026.0,0.0
J1440_2019,"Fecal microbiota, live - jslm, 1 ml",Rebyota,"Fecal Microbiota, Live-Jslm",2019,\N,\N,\N,\N,\N,\N,\N,\N
J1442_2019,"Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram",Neupogen,Filgrastim,2019,29665415.34,33567812.0,12112.0,0.8837458736,443.45574235,2449.2582018,66896.0,0.0
